City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
558,Tarudant,MA,35.174,-2.9287,82.65,26,0,16.11,clear sky
559,Soller,ES,28.6585,-17.9182,65.95,94,1,12.66,clear sky
560,Toora-Khem,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
561,Hihifo,TO,-21.2,-175.2,80.76,83,20,10.36,few clouds
562,Bowral,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
563,Naze,JP,28.3667,129.4833,85.12,84,84,19.69,broken clouds
564,Tabiauea,KI,3.0707,172.7902,83.84,72,100,10.98,overcast clouds
565,Genhe,CN,42.8,93.45,77.5,31,88,3.36,overcast clouds
566,Susanville,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
567,Semenivka,UA,48.8285,30.0396,69.91,78,0,4.61,clear sky
568,Mana,GF,4.9333,-52.3333,82.09,81,0,1.14,clear sky
569,Mabaruma,GY,3.3803,-59.7968,75.63,90,20,5.57,heavy intensity rain
570,Moen,NO,70.3705,31.1107,47.16,85,100,21.25,overcast clouds
571,Palu,ID,4.1363,96.1285,76.93,78,94,3.76,overcast clouds
572,Te Anau,NZ,-46.6,168.3333,43.81,79,94,5.35,overcast clouds
573,Gondanglegi,ID,4.1363,96.1285,76.93,78,94,3.76,overcast clouds
574,Northam,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
575,Santa Rosa,AR,-38.0023,-57.5575,49.08,56,100,5.01,overcast clouds
576,Clermont,FR,45.55,2.3167,61.09,91,4,7.87,clear sky
577,San Pedro,PH,14.35,121.0167,84.34,80,75,9.22,light rain
578,Estancia,ID,-3.7508,103.6372,78.28,76,94,1.14,overcast clouds
579,Ozuluama,MX,27.85,-105.4833,69.21,68,100,16.02,overcast clouds
580,Haverfordwest,GB,60.3964,-1.353,51.71,72,99,7.99,overcast clouds
581,Port Macquarie,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
582,Am Timan,SA,18.3851,42.4509,64.51,47,100,7.85,overcast clouds
583,Lesnoy,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
584,Nam Tha,LA,19.8856,102.1347,78.76,89,90,4.61,overcast clouds
585,Aklavik,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
586,Evensk,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
587,Finschhafen,PG,-2.5744,150.7967,84.15,69,76,5.03,broken clouds
588,Phangnga,TH,12.7254,101.0553,83.86,69,40,11.5,scattered clouds
589,Contagem,BR,-2.7619,-42.2744,77.49,88,3,6.42,clear sky
590,Norman Wells,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
591,Medea,DZ,36.3868,4.3989,72.66,50,0,1.23,clear sky
592,Wanning,CN,42.8,93.45,77.5,31,88,3.36,overcast clouds
593,Bartica,GY,3.3803,-59.7968,75.63,90,20,5.57,heavy intensity rain
594,Sirvintos,LT,55.3592,21.7022,59.99,92,1,5.44,clear sky
595,Korla,CN,42.8,93.45,77.5,31,88,3.36,overcast clouds
596,Tanshui,TW,23.9664,120.9695,84.81,67,100,2.82,overcast clouds
597,Muli,MV,-0.6,73.0833,81.12,70,22,1.9,few clouds
598,Bacuit,ID,-3.7508,103.6372,78.28,76,94,1.14,overcast clouds
