City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
156,Manacapuru,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
157,Dolbeau,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
158,Aksarka,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
159,Souillac,-20.3428,57.7575,73.22,88,40,11.5,MU,scattered clouds
160,Zheleznodorozhnyy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
161,Muros,43.4647,-3.8044,66.6,95,75,1.01,ES,broken clouds
162,Puerto Ayora,-0.7393,-90.3518,71.55,95,99,4.0,EC,overcast clouds
163,Paamiut,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
164,Codrington,-38.2667,141.9667,50.83,68,100,15.68,AU,overcast clouds
165,Palmer,22.0752,-159.319,80.92,79,75,5.01,US,light rain
166,Mar Del Plata,-54.8,-68.3,35.26,87,75,0.0,AR,broken clouds
167,Port Hardy,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
168,Ixtapa,27.9769,-114.0611,69.71,84,54,11.39,MX,broken clouds
169,Flin Flon,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
170,Chokurdakh,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
171,Aripuana,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
172,The Valley,18.217,-63.0578,82.26,76,2,20.94,AI,clear sky
173,Tabou,4.423,-7.3528,76.06,83,68,6.49,CI,light rain
174,Broken Hill,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
175,Touros,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
176,Eyl,8.4054,48.4845,79.79,54,37,27.98,SO,scattered clouds
177,Ashqelon,31.6693,34.5715,79.92,67,7,5.23,IL,clear sky
178,Talnakh,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
179,Viligili,3.7833,72.9667,83.28,75,100,15.5,MV,overcast clouds
180,Vila Velha,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
181,Yangmei,23.9664,120.9695,87.22,71,100,5.21,TW,overcast clouds
182,Beringovskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
183,Merauke,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
184,Farafangana,-18.4,47.8667,52.12,81,62,5.12,MG,broken clouds
185,Dikson,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
186,Qaanaaq,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
187,Georgetown,5.4112,100.3354,91.33,70,20,8.01,MY,few clouds
188,Svetlaya,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
189,Bose,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
190,Faya,13.8292,20.8324,74.88,79,100,9.19,TD,overcast clouds
191,Letychiv,48.937,34.4786,67.41,68,100,15.52,UA,overcast clouds
192,Khorixas,-19.5667,18.1167,38.77,70,0,5.75,NA,clear sky
193,Severo-Kurilsk,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
194,Sao Joao Do Piaui,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
195,Pueblo Bello,10.9878,-74.9547,82.49,76,6,22.35,CO,clear sky
196,Komsomolskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
197,Ongandjera,-19.5667,18.1167,38.77,70,0,5.75,NA,clear sky
198,Talaya,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
199,Walvis Bay,-19.5667,18.1167,38.77,70,0,5.75,NA,clear sky
200,Teyateyaneng,-29.1472,27.7489,24.39,68,30,2.8,LS,scattered clouds
201,Baker City,22.0752,-159.319,80.92,79,75,5.01,US,light rain
202,Hofn,65.0757,-22.7297,52.81,95,99,11.65,IS,overcast clouds
203,Margate,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
204,Aden,12.7794,45.0367,85.32,66,8,20.31,YE,clear sky
